statefip,stateName,stateabbrev,area,MSAname,countyfip,township,county_town_name,county_town_BLSname
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,709,Indian State Indian Reservation unorganized,Indian State Indian Reservation unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,585,Indian Stream unorganized,Indian Stream unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,148,Industry town,Industry town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,045,Island Falls town,Island Falls town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,013,275,Isle au Haut town,Isle au Haut town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,626,Islesboro town,Islesboro town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,540,Jackman town,Jackman town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,627,Jackson town,Jackson town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,149,Jay town,Jay town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,015,298,Jefferson town,Jefferson town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,171,Jim Pond,Jim Pond
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,586,Johnson Mountain unorganized,Johnson Mountain unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,673,Jonesboro town,Jonesboro town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,674,Jonesport town,Jonesport town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,487,Katahdin Iron Works unorganized,Katahdin Iron Works unorganized
23,Maine,ME,70750,"Bangor, ME",019,407,Kenduskeag town,Kenduskeag town
23,Maine,ME,76750,"Portland-South Portland, ME",031,725,Kennebunk town,Kennebunk town
23,Maine,ME,76750,"Portland-South Portland, ME",031,726,Kennebunkport town,Kennebunkport town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,172,Kibby,Kibby
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,488,Kineo unorganized,Kineo unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,587,King and Bartlett unorganized,King and Bartlett unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,150,Kingfield town,Kingfield town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,444,Kingman unorganized,Kingman unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,465,Kingsbury plantation,Kingsbury plantation
23,Maine,ME,76900,"Portsmouth, NH-ME",031,727,Kittery town,Kittery town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,628,Knox town,Knox town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,705,Kossuth unorganized,Kossuth unorganized
23,Maine,ME,70750,"Bangor, ME",019,408,Lagrange town,Lagrange town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,466,Lake View plantation,Lake View plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,409,Lakeville plantation,Lakeville plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,706,Lambert Lake unorganized,Lambert Lake unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,009,207,Lamoine town,Lamoine town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,173,Lang unorganized,Lang unorganized
23,Maine,ME,73050,"Dover-Durham, NH-ME",031,728,Lebanon town,Lebanon town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,410,Lee town,Lee town
23,Maine,ME,74650,"Lewiston-Auburn, ME",001,004,Leeds town,Leeds town
23,Maine,ME,70750,"Bangor, ME",019,411,Levant town,Levant town
23,Maine,ME,74650,"Lewiston-Auburn, ME",001,005,Lewiston city,Lewiston city
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,588,Lexington unorganized,Lexington unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,629,Liberty town,Liberty town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,489,Lilly Bay unorganized,Lilly Bay unorganized
23,Maine,ME,76750,"Portland-South Portland, ME",031,729,Limerick town,Limerick town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,046,Limestone town,Limestone town
23,Maine,ME,76750,"Portland-South Portland, ME",031,730,Limington town,Limington town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,330,Lincoln plantation,Lincoln plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,412,Lincoln town,Lincoln town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,630,Lincolnville town,Lincolnville town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,047,Linneus town,Linneus town
23,Maine,ME,74650,"Lewiston-Auburn, ME",001,006,Lisbon town,Lisbon town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,011,246,Litchfield town,Litchfield town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,490,Little Squaw unorganized,Little Squaw unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,589,Little W unorganized,Little W unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,048,Littleton town,Littleton town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,001,008,Livermore Falls town,Livermore Falls town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,001,007,Livermore town,Livermore town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,491,Lobster unorganized,Lobster unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,445,Long A unorganized,Long A unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,009,208,Long Island plantation,Long Island plantation
23,Maine,ME,76750,"Portland-South Portland, ME",005,125,Long Island town,Long Island town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,590,Long Pond unorganized,Long Pond unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,331,Lovell town,Lovell town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,413,Lowell town,Lowell town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,174,Lowelltown unorganized,Lowelltown unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,358,Lower Cupsuptic unorganized,Lower Cupsuptic unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,591,Lower Enchanted unorganized,Lower Enchanted unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,675,Lubec town,Lubec town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,049,Ludlow town,Ludlow town
23,Maine,ME,76750,"Portland-South Portland, ME",031,731,Lyman town,Lyman town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,359,Lynchtown unorganized,Lynchtown unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,676,Machias town,Machias town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,677,Machiasport town,Machiasport town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,050,Macwahoc plantation,Macwahoc plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,051,Madawaska town,Madawaska town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,541,Madison town,Madison town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,151,Madrid town,Madrid town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,332,Magalloway plantation,Magalloway plantation
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,011,247,Manchester town,Manchester town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,052,Mapleton town,Mapleton town
