"state","year","state_min_wage","state_min_wage_lastyr","state_min_wage_hike","state_min_wage_period","state_min_wage_last","state_min_wage_hike_last"
"AR",2100,11,11,0,0,11,0
"AZ",2024,14.35,NA,NA,0,NA,NA
"AZ",2025,14.7,14.35,0.35,1,14.35,0.35
"AZ",2026,14.7,14.7,0,1,14.35,0.35
"AZ",2027,14.7,14.7,0,1,14.35,0.35
"AZ",2028,14.7,14.7,0,1,14.35,0.35
"AZ",2029,14.7,14.7,0,1,14.35,0.35
"AZ",2030,14.7,14.7,0,1,14.35,0.35
"AZ",2031,14.7,14.7,0,1,14.35,0.35
"AZ",2032,14.7,14.7,0,1,14.35,0.35
"AZ",2033,14.7,14.7,0,1,14.35,0.35
"AZ",2034,14.7,14.7,0,1,14.35,0.35
"AZ",2035,14.7,14.7,0,1,14.35,0.35
"AZ",2036,14.7,14.7,0,1,14.35,0.35
"AZ",2037,14.7,14.7,0,1,14.35,0.35
"AZ",2038,14.7,14.7,0,1,14.35,0.35
"AZ",2039,14.7,14.7,0,1,14.35,0.35
"AZ",2040,14.7,14.7,0,1,14.35,0.35
"AZ",2041,14.7,14.7,0,1,14.35,0.35
"AZ",2042,14.7,14.7,0,1,14.35,0.35
"AZ",2043,14.7,14.7,0,1,14.35,0.35
"AZ",2044,14.7,14.7,0,1,14.35,0.35
"AZ",2045,14.7,14.7,0,1,14.35,0.35
"AZ",2046,14.7,14.7,0,1,14.35,0.35
"AZ",2047,14.7,14.7,0,1,14.35,0.35
"AZ",2048,14.7,14.7,0,1,14.35,0.35
"AZ",2049,14.7,14.7,0,1,14.35,0.35
"AZ",2050,14.7,14.7,0,1,14.35,0.35
"AZ",2051,14.7,14.7,0,1,14.35,0.35
"AZ",2052,14.7,14.7,0,1,14.35,0.35
"AZ",2053,14.7,14.7,0,1,14.35,0.35
"AZ",2054,14.7,14.7,0,1,14.35,0.35
"AZ",2055,14.7,14.7,0,1,14.35,0.35
"AZ",2056,14.7,14.7,0,1,14.35,0.35
"AZ",2057,14.7,14.7,0,1,14.35,0.35
"AZ",2058,14.7,14.7,0,1,14.35,0.35
"AZ",2059,14.7,14.7,0,1,14.35,0.35
"AZ",2060,14.7,14.7,0,1,14.35,0.35
"AZ",2061,14.7,14.7,0,1,14.35,0.35
"AZ",2062,14.7,14.7,0,1,14.35,0.35
"AZ",2063,14.7,14.7,0,1,14.35,0.35
"AZ",2064,14.7,14.7,0,1,14.35,0.35
"AZ",2065,14.7,14.7,0,1,14.35,0.35
"AZ",2066,14.7,14.7,0,1,14.35,0.35
"AZ",2067,14.7,14.7,0,1,14.35,0.35
"AZ",2068,14.7,14.7,0,1,14.35,0.35
"AZ",2069,14.7,14.7,0,1,14.35,0.35
"AZ",2070,14.7,14.7,0,1,14.35,0.35
"AZ",2071,14.7,14.7,0,1,14.35,0.35
"AZ",2072,14.7,14.7,0,1,14.35,0.35
"AZ",2073,14.7,14.7,0,1,14.35,0.35
"AZ",2074,14.7,14.7,0,1,14.35,0.35
"AZ",2075,14.7,14.7,0,1,14.35,0.35
"AZ",2076,14.7,14.7,0,1,14.35,0.35
"AZ",2077,14.7,14.7,0,1,14.35,0.35
"AZ",2078,14.7,14.7,0,1,14.35,0.35
"AZ",2079,14.7,14.7,0,1,14.35,0.35
"AZ",2080,14.7,14.7,0,1,14.35,0.35
"AZ",2081,14.7,14.7,0,1,14.35,0.35
"AZ",2082,14.7,14.7,0,1,14.35,0.35
"AZ",2083,14.7,14.7,0,1,14.35,0.35
"AZ",2084,14.7,14.7,0,1,14.35,0.35
"AZ",2085,14.7,14.7,0,1,14.35,0.35
"AZ",2086,14.7,14.7,0,1,14.35,0.35
"AZ",2087,14.7,14.7,0,1,14.35,0.35
"AZ",2088,14.7,14.7,0,1,14.35,0.35
"AZ",2089,14.7,14.7,0,1,14.35,0.35
"AZ",2090,14.7,14.7,0,1,14.35,0.35
"AZ",2091,14.7,14.7,0,1,14.35,0.35
"AZ",2092,14.7,14.7,0,1,14.35,0.35
"AZ",2093,14.7,14.7,0,1,14.35,0.35
"AZ",2094,14.7,14.7,0,1,14.35,0.35
"AZ",2095,14.7,14.7,0,1,14.35,0.35
"AZ",2096,14.7,14.7,0,1,14.35,0.35
"AZ",2097,14.7,14.7,0,1,14.35,0.35
"AZ",2098,14.7,14.7,0,1,14.35,0.35
"AZ",2099,14.7,14.7,0,1,14.35,0.35
